X,Y,OBJECTID,carr_way_no,road_id,road_name,start_name,end_name,location,latest,count_date,peak_hour,count_duration,adt,peaktraffic,pccar,pclcv,pcmcv,pchcvi,pchcvii,pcbus,pcheavy,NZTMX,NZTMY
1768822.378,5882541.37,30,1699,70910,ADAMS DR,PAERATA RD (SOUTH),LOCHVIEW TCE,40,Yes,2012/03/26 00:00:00+00,1600,,1420,266,89,2,7,2,0,0,9,1768822.378,5882541.37
1768247.832,5881980.601,31,2195,70978,KAYES RD,MARGARITA RISE,BEATTY RD,756,Yes,2006/06/09 00:00:00+00,17:00,,1861,222,97,1,2,0,0,0,2,1768247.832,5881980.601
1768591.401,5882993.435,32,529,71442,LOUGH BOURNE DR,PAERATA RD,START DIVIDED MEDIAN,40,Yes,2008/05/11 00:00:00+00,17:00,,547,83,96,2,1,1,0,0,2,1768591.401,5882993.435
1769130.289,5882248.244,33,34814,70093,CAPE HILL RD,EDINBURGH ST RAB,FRANKLIN RD (AT TEE),138,Yes,2008/06/26 00:00:00+00,17:00,,3596,424,96,1,2,1,0,0,3,1769130.289,5882248.244
1768872.732,5882336.716,34,1363,70935,CRISP AVE,PAERATA RD,SUMP (RHS),30,Yes,2009/12/20 00:00:00+00,1700,7D,235,33,94,1,4,1,0,0,5,1768872.732,5882336.716
1769021.088,5882017.399,35,1138,70946,EDINBURGH ST (PUKEKOHE),REIDY PL,HOGAN ST,193,Yes,2012/02/16 00:00:00+00,1500,,9221,961,94,1,3,1,1,0,5,1769021.088,5882017.399
1768967.493,5881418.107,36,1254,70946,EDINBURGH ST (PUKEKOHE),ALBERT ST,STADIUM DR RAB,793,Yes,2011/05/25 00:00:00+00,1600,,10259,1044,95,0,0,0,,0,0,1768967.493,5881418.107
1768929.662,5882172.141,37,34838,71033,SEDDON ST (PUKEKOHE),PAERATA RD RAB,HOGAN ST,63,Yes,2009/05/31 00:00:00+00,1200,,4883,445,95,1,3,1,0,0,4,1768929.662,5882172.141
1768790.109,5881936.534,38,328,71033,SEDDON ST (PUKEKOHE),DUBLIN ST,BLAIR AVE,341,Yes,2009/05/31 00:00:00+00,1700,,4464,490,95,1,3,1,0,0,4,1768790.109,5881936.534
1743530.306,5916302.463,39,10254,41364,SAN VALENTINO DR,SAN BERNADINO DR RAB,SAN FERNANDO WAY RAB,30,Yes,2008/06/16 00:00:00+00,,7D,781,,86,8,3,2,1,0,6,1743530.306,5916302.463
1743724.651,5916104.147,40,12889,41364,SAN VALENTINO DR,SAN ANTONIO WAY RAB,SAN PABLO WAY RAB,330,Yes,2008/06/23 00:00:00+00,,7D,737,,86,8,3,2,1,0,6,1743724.651,5916104.147
